Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1993-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2017-10-31;15;33,754839;26,149677;21,219355;
2017-11-30;214,2;30,71;25,083333;21,133333;
2017-12-31;120,3;31,845161;26,297419;22,609677;
2018-01-31;217,3;34,216129;27,451613;23,241935;
2018-02-28;119,3;32,003571;26,42;22,596429;
2018-03-31;236,7;32,470968;26,654839;23,119355;
2018-04-30;64,6;29,946667;24,367333;20,663333;
2018-05-31;14,3;28,36129;22,374194;18,093548;
2018-06-30;16;29,01;22,434;17,986667;
2018-07-31;43;29,154839;21,618065;16,109677;
2018-08-31;52;27,122581;21,563871;17,677419;
2018-09-30;60,8;29,87;23,563333;19,013333;
2018-10-31;87,7;30,416129;24,652903;20,848387;
2018-11-30;144,5;30,516667;24,927333;21,213333;
2018-12-31;173,9;32,464516;26,39871;21,854839;
2019-01-31;32,7;36,774194;29,105161;23,480645;
2019-02-28;154;34,464286;28,027143;23,657143;
2019-03-31;167,4;33,1;26,747097;22,983871;
2019-04-30;76,9;32,563333;26,303333;22,293333;
2019-05-31;49,5;30,354839;24,796471;21,176471;
2019-06-30;3,1;29,426667;null;null;
2019-07-31;1,1;29,2;21,215556;15,666667;
2019-08-31;30,5;28,23871;21,493548;16,829032;
2019-09-30;39;30,96;24,129333;19,36;
2019-10-31;39,3;32,96129;25,619355;21,129032;
2019-11-30;238,2;30,93;25,159333;21,506667;
2019-12-31;233,6;31,567742;25,990968;22,148387;
2020-01-31;322,9;32,251613;26,657419;22,945161;
2020-02-29;352,2;32,010345;26,301379;22,772414;
2020-03-31;null;30,642105;25,312632;21,66;
2020-04-30;39,4;29,306667;23,578519;19,92;
2020-05-31;null;null;null;null;
2020-06-30;2,8;28,926667;21,435333;16,296667;
2020-07-31;8,6;28,829032;21,520645;16,474194;
2020-08-31;24,6;29,112903;21,852903;16,26129;
2020-09-30;37,3;32,823333;24,955333;19,293333;
2020-10-31;144,4;30,812903;25,000667;20,916129;
2020-11-30;null;null;null;null;
2020-12-31;187,9;33,041935;26,439355;22,303226;
2021-01-31;98,5;34,245161;27,227097;21,987097;
2021-02-28;142;32,389286;26,2688;22,228571;
2021-03-31;56,8;34,243333;26,854;21,774194;
2021-04-30;37,6;30,61;23,846667;18,7;
2021-05-31;null;null;null;null;
2021-06-30;34,2;27,79;21,021379;16,563333;
2021-07-31;0;27,916129;20,208387;14,387097;
2021-08-31;24,8;29,16129;21,836774;16,883871;
2021-09-30;49,7;31,416667;24,377333;19,936667;
2021-10-31;236;27,887097;23,200645;20,051613;
2021-11-30;190,3;29,366667;23,767333;19,716667;
2021-12-31;351,9;30,706452;25,076667;21,303226;
2022-01-31;196,2;32,780645;26,805333;22,419355;
2022-02-28;436,7;31,803571;25,967857;22,378571;
2022-03-31;null;null;null;null;
2022-04-30;200;32,02;null;null;
2022-05-31;31,4;29,064516;null;null;
2022-06-30;6,9;27,946667;19,682857;14,645455;
2022-07-31;0;29,651613;21,909032;16,254839;
2022-08-31;1,8;28,916129;22,000645;16,493548;
2022-09-30;47,1;29,076667;22,415333;17,526667;
2022-10-31;148;31,419355;25,092;21,009677;
2022-11-30;255,2;28,643333;23,561333;19,593333;
2022-12-31;258,5;30,316129;25,159355;21,793548;

